Year,Date,DOY,TREAT_DESC,HABITAT,TYPE,REPLICATE,STATION,SpeciesID,Adults
1989,24-May-89,144,Alfalfa,alfalfa,perennial,1,1,ABIPN,0
1989,24-May-89,144,Alfalfa,alfalfa,perennial,1,1,CSEPT,0
1989,24-May-89,144,Alfalfa,alfalfa,perennial,1,1,CMAC,0
1989,24-May-89,144,Alfalfa,alfalfa,perennial,1,1,CSTIG,1
1989,24-May-89,144,Alfalfa,alfalfa,perennial,1,1,CTRIF,0
1989,24-May-89,144,Alfalfa,alfalfa,perennial,1,1,CMUND,0
1989,24-May-89,144,Alfalfa,alfalfa,perennial,1,1,HTRE,0
1989,24-May-89,144,Alfalfa,alfalfa,perennial,1,1,HAXY,0
1989,24-May-89,144,Alfalfa,alfalfa,perennial,1,1,HCONV,0
1989,24-May-89,144,Alfalfa,alfalfa,perennial,1,1,HGLAC,0
1989,24-May-89,144,Alfalfa,alfalfa,perennial,1,1,HPARN,0
1989,24-May-89,144,Alfalfa,alfalfa,perennial,1,2,ABIPN,0
1989,24-May-89,144,Alfalfa,alfalfa,perennial,1,2,CSEPT,1
1989,24-May-89,144,Alfalfa,alfalfa,perennial,1,2,CMAC,0
1989,24-May-89,144,Alfalfa,alfalfa,perennial,1,2,CSTIG,0
1989,24-May-89,144,Alfalfa,alfalfa,perennial,1,2,CTRIF,0
1989,24-May-89,144,Alfalfa,alfalfa,perennial,1,2,CMUND,0
1989,24-May-89,144,Alfalfa,alfalfa,perennial,1,2,HTRE,0
1989,24-May-89,144,Alfalfa,alfalfa,perennial,1,2,HAXY,0
1989,24-May-89,144,Alfalfa,alfalfa,perennial,1,2,HCONV,0